symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,entry_score,holding_periods
KRDMD,2023-06-13 07:30:00+00:00,2023-06-15 10:30:00+00:00,21.57999992370605,21.399999618530277,235,-62.50067150115774,-0.01229978898553782,TIME_EXIT,0.634884646428172,21.0
AGESA,2023-06-13 07:30:00+00:00,2023-06-15 14:30:00+00:00,34.7599983215332,34.5,136,-54.19849127197267,-0.011441970415315715,TIME_EXIT,0.6070450458318446,58.0
ISFIN,2023-06-13 13:30:00+00:00,2023-06-16 07:30:00+00:00,7.03000020980835,6.760000228881836,724,-215.44790682601888,-0.04224551933440429,TIME_EXIT,0.6725405361779104,20.0
EREGL,2023-06-13 13:30:00+00:00,2023-06-16 07:30:00+00:00,18.649999618530277,18.46999931335449,244,-62.03463394165192,-0.013604978153067809,TIME_EXIT,0.5761218658296418,20.0
FROTO,2023-06-13 14:30:00+00:00,2023-06-16 08:30:00+00:00,67.0,67.76000213623047,64,31.390856445312238,0.007306016801590903,TIME_EXIT,0.48888372565497323,22.0
ERBOS,2023-06-14 06:30:00+00:00,2023-06-19 06:30:00+00:00,141.89999389648438,140.10000610351562,33,-78.01159716796883,-0.01662628157814378,TIME_EXIT,0.6289551814955407,26.0
SKBNK,2023-05-31 10:30:00+00:00,2023-06-19 07:30:00+00:00,2.4100000858306885,2.5,1954,156.67155195140822,0.033203266140785295,SIGNAL,0.5454596797234564,114.0
EGEEN,2023-06-16 07:30:00+00:00,2023-06-19 07:30:00+00:00,4925.0,4823.10009765625,1,-121.39610253906267,-0.024599755319627273,SIGNAL,0.6957290192028146,9.0
PGSUS,2023-06-15 08:30:00+00:00,2023-06-19 11:30:00+00:00,120.63180541992188,118.09477996826172,39,-117.56466627502505,-0.024939208101594296,TIME_EXIT,0.6183961208852202,20.0
KCHOL,2023-06-15 10:30:00+00:00,2023-06-19 13:30:00+00:00,100.5999984741211,96.25,43,-203.9790342559818,-0.04705994118146144,TIME_EXIT,0.4780215871935638,20.0
ISGYO,2023-05-31 10:30:00+00:00,2023-06-19 14:30:00+00:00,9.029999732971191,9.130000114440918,494,31.45810859680205,0.007038015183145829,TIME_EXIT,0.545083617627557,120.0
ASELS,2023-06-16 07:30:00+00:00,2023-06-20 06:30:00+00:00,26.975000381469727,24.68000030517578,175,-419.7042635917669,-0.08873115839687787,STOP_LOSS,0.6221981532668528,17.0
QUAGR,2023-06-15 14:30:00+00:00,2023-06-20 08:30:00+00:00,8.559090614318848,8.2590913772583,537,-179.1623177604679,-0.03890245783392256,TIME_EXIT,0.5649811724209775,22.0
MPARK,2023-06-16 08:30:00+00:00,2023-06-20 11:30:00+00:00,73.44999694824219,71.75,65,-129.37580123901444,-0.027044576943284968,TIME_EXIT,0.6510767886464142,-8.0
ANSGR,2023-06-19 06:30:00+00:00,2023-06-21 09:30:00+00:00,16.459999084472656,15.3100004196167,254,-308.23882062149005,-0.07357937414131585,TIME_EXIT,0.42508655457354627,21.0
ODAS,2023-06-19 07:30:00+00:00,2023-06-21 10:30:00+00:00,6.849999904632568,6.309999942779541,654,-370.37325485229485,-0.08250942923383907,TIME_EXIT,0.5246889087770797,22.0
BIMAS,2023-06-20 06:30:00+00:00,2023-06-21 13:30:00+00:00,172.89999389648438,159.0,22,-320.4034654541015,-0.08406434325329416,STOP_LOSS,0.313581268312806,16.0
MAVI,2023-06-19 11:30:00+00:00,2023-06-21 14:30:00+00:00,16.325000762939453,16.0,278,-108.32291252136201,-0.02382070445664434,TIME_EXIT,0.5481224367324148,22.0
DOAS,2023-06-19 13:30:00+00:00,2023-06-22 07:30:00+00:00,146.1999969482422,148.5,29,49.607488677977926,0.011677077401750474,TIME_EXIT,0.49019477974246134,22.0
ECILC,2023-06-19 14:30:00+00:00,2023-06-22 08:30:00+00:00,32.02000045776367,31.979999542236328,138,-23.184126342773197,-0.005236276763324406,TIME_EXIT,0.503880320202796,20.0
KLRHO,2023-06-20 08:30:00+00:00,2023-06-22 11:30:00+00:00,14.460000038146973,14.050000190734863,329,-153.64952994918804,-0.03223289566357092,TIME_EXIT,0.6213838280303967,50.0
GARAN,2023-06-20 11:30:00+00:00,2023-06-22 14:30:00+00:00,30.739999771118164,30.399999618530277,151,-69.80430285644434,-0.015008374753719488,TIME_EXIT,0.5873852853497926,21.0
ANSGR,2023-06-21 13:30:00+00:00,2023-06-26 07:30:00+00:00,15.149999618530272,15.43000030517578,283,61.931914363861324,0.01441609798939416,TIME_EXIT,0.4822367817667259,23.0
DOAS,2023-06-22 07:30:00+00:00,2023-07-03 06:30:00+00:00,148.5,182.1000061035156,31,1021.1029888305648,0.22136740721458456,TAKE_PROFIT,0.6365680491578725,31.0
IZMDC,2023-06-19 07:30:00+00:00,2023-07-03 08:30:00+00:00,5.769999980926514,6.96999979019165,847,994.818278835297,0.20314999353207433,TAKE_PROFIT,0.5805464422087465,59.0
GUBRF,2023-05-24 09:30:00+00:00,2023-07-04 09:30:00+00:00,238.5,288.0,16,775.1519999999996,0.20272662222724352,TAKE_PROFIT,0.5152691077518418,229.0
ISCTR,2023-06-21 09:30:00+00:00,2023-07-05 08:30:00+00:00,5.348052978515625,5.63205623626709,836,219.06798087310835,0.04890003901865599,SIGNAL,0.5279827578316728,-53.0
GARAN,2023-07-03 06:30:00+00:00,2023-07-05 09:30:00+00:00,32.7400016784668,32.720001220703125,145,-21.883467216491226,-0.00460046479505368,TIME_EXIT,0.6117184274487794,20.0
OTKAR,2023-07-03 08:30:00+00:00,2023-07-06 06:30:00+00:00,200.5,241.0,24,950.808,0.19719662918551925,TAKE_PROFIT,0.6586321591145656,-21.0
KONYA,2023-06-22 14:30:00+00:00,2023-07-06 08:30:00+00:00,3067.0,3725.0,1,644.4160000000002,0.20969342697064305,TAKE_PROFIT,0.6222189365759174,50.0
EGEEN,2023-06-22 11:30:00+00:00,2023-07-06 09:30:00+00:00,4703.60009765625,5692.7998046875,1,968.406907226562,0.20547536764222982,TAKE_PROFIT,0.7558769267723491,58.0
SMRTG,2023-07-04 09:30:00+00:00,2023-07-06 12:30:00+00:00,42.17171859741211,41.641414642333984,119,-83.0536963653567,-0.016516688682112105,TIME_EXIT,0.6876919243539962,130.0
AKSA,2023-07-05 09:30:00+00:00,2023-07-07 12:30:00+00:00,6.2833333015441895,6.387499809265137,787,62.03515025997149,0.012520027620852523,TIME_EXIT,0.6685046647781022,68.0
PETKM,2023-07-06 06:30:00+00:00,2023-07-10 09:30:00+00:00,16.260000228881836,16.31999969482422,301,-1.5533207054140803,-0.000316742519413115,TIME_EXIT,0.6342286380305614,21.0
AGHOL,2023-06-21 14:30:00+00:00,2023-07-10 11:30:00+00:00,100.5999984741211,121.1999969482422,41,826.4123378143313,0.19996189320171032,TAKE_PROFIT,0.44832141145265786,35.0
ECILC,2023-06-26 07:30:00+00:00,2023-07-10 13:30:00+00:00,34.900001525878906,42.63999938964844,134,1016.3789934997558,0.21689908236005975,TAKE_PROFIT,0.5985025359261961,64.0
KONYA,2023-07-06 08:30:00+00:00,2023-07-10 13:30:00+00:00,3725.0,3796.0,1,55.958000000000084,0.014992297284625403,TIME_EXIT,0.9100837254262559,21.0
MAVI,2023-07-06 11:30:00+00:00,2023-07-10 14:30:00+00:00,21.412500381469727,20.950000762939453,243,-132.9755828590387,-0.025505305143134795,TIME_EXIT,0.7308217109181743,21.0
KARSN,2023-07-07 12:30:00+00:00,2023-07-12 06:30:00+00:00,10.619999885559082,10.6899995803833,500,13.689847946166992,0.002572979858303832,TIME_EXIT,0.7688498389114521,21.0
ALGYO,2023-07-10 14:30:00+00:00,2023-07-12 07:30:00+00:00,15.449999809265137,15.050000190734863,316,-145.67587945556625,-0.0297786061676938,SIGNAL,0.6191973193429237,10.0
ODAS,2023-07-05 08:30:00+00:00,2023-07-12 09:30:00+00:00,7.889999866485596,8.039999961853027,638,75.37338106346124,0.014943509395647033,TIME_EXIT,0.6967872251571702,49.0
AKBNK,2023-06-21 10:30:00+00:00,2023-07-12 11:30:00+00:00,19.1299991607666,23.059999465942383,218,838.3452271270753,0.20062439035310425,TAKE_PROFIT,0.425959271688843,104.0
HALKB,2023-06-22 08:30:00+00:00,2023-07-12 12:30:00+00:00,11.960000038146973,14.359999656677246,345,809.8390686035164,0.19587577450897664,TAKE_PROFIT,0.4151211552791109,99.0
ISGYO,2023-07-10 13:30:00+00:00,2023-07-13 07:30:00+00:00,12.020000457763672,12.229999542236328,413,66.69912188720718,0.013409045330487647,TIME_EXIT,0.5619038043742915,21.0
AKSA,2023-07-10 09:30:00+00:00,2023-07-13 12:30:00+00:00,6.570833206176758,6.683332920074463,717,61.65582063961028,0.013060709268987078,TIME_EXIT,0.5584919648788674,77.0
OTKAR,2023-07-12 06:30:00+00:00,2023-07-14 09:30:00+00:00,239.8000030517578,240.8999938964844,21,2.9104078674326956,0.0005767899108637804,TIME_EXIT,0.7165223325904572,22.0
KONYA,2023-07-12 07:30:00+00:00,2023-07-14 10:30:00+00:00,3875.0,3892.0,1,1.4659999999998945,0.0003775674457536268,TIME_EXIT,0.7334196783495359,-28.0
GESAN,2023-07-12 09:30:00+00:00,2023-07-14 12:30:00+00:00,71.5999984741211,71.0,71,-62.84909144592348,-0.01233843054023168,TIME_EXIT,0.6817198715449629,20.0
ECILC,2023-07-12 11:30:00+00:00,2023-07-14 14:30:00+00:00,41.81999969482422,40.380001068115234,122,-195.73663264465358,-0.03828781079502275,TIME_EXIT,0.6805709589235396,21.0
EKGYO,2023-07-12 12:30:00+00:00,2023-07-17 06:30:00+00:00,8.609999656677246,8.279999732971191,593,-215.72149403381354,-0.04216653070062367,TIME_EXIT,0.6777809141210376,23.0
GARAN,2023-07-17 06:30:00+00:00,2023-07-18 09:30:00+00:00,38.36000061035156,37.380001068115234,126,-142.56642274475053,-0.029437463123547537,SIGNAL,0.5785846526548729,12.0
IPEKE,2023-07-07 06:30:00+00:00,2023-07-18 13:30:00+00:00,31.700000762939453,32.31999969482422,149,73.30188071441717,0.015488232340650752,TIME_EXIT,0.571419248348198,70.0
ARCLK,2023-07-13 12:30:00+00:00,2023-07-18 13:30:00+00:00,146.1999969482422,148.10000610351562,30,39.34227447509784,0.008952062882061424,TIME_EXIT,0.4707126926658457,28.0
AKSA,2023-07-14 09:30:00+00:00,2023-07-18 13:30:00+00:00,6.829166889190674,6.849999904632568,721,-4.704754383086765,-0.0009536000019185229,TIME_EXIT,0.6054241358117074,69.0
DOAS,2023-07-14 10:30:00+00:00,2023-07-18 13:30:00+00:00,211.5,213.8999938964844,24,37.1806538085948,0.007310173547427367,TIME_EXIT,0.7345841498130944,22.0
SAHOL,2023-07-18 09:30:00+00:00,2023-07-18 13:30:00+00:00,53.150001525878906,51.150001525878906,94,-207.60840057373025,-0.041471148816140106,SIGNAL,0.6449347863949824,4.0
OYAKC,2023-07-10 13:30:00+00:00,2023-07-18 14:30:00+00:00,12.769230842590332,12.910256385803224,363,32.54896445846589,0.0070080645163442925,TIME_EXIT,0.5370825476844842,56.0
SISE,2023-07-13 07:30:00+00:00,2023-07-19 06:30:00+00:00,48.08000183105469,48.58000183105469,106,32.5080792236331,0.00636580377091775,TIME_EXIT,0.6831791788918318,35.0
AKSEN,2023-07-14 12:30:00+00:00,2023-07-19 06:30:00+00:00,38.34000015258789,36.040000915527344,125,-306.09490489959717,-0.06374208363270993,TIME_EXIT,0.5793554614402802,21.0
KONYA,2023-07-14 14:30:00+00:00,2023-07-19 08:30:00+00:00,3982.60009765625,3711.699951171875,1,-286.2887465820313,-0.07174140133383188,TIME_EXIT,0.7079719330659402,18.0
GESAN,2023-07-18 13:30:00+00:00,2023-07-21 06:30:00+00:00,79.69999694824219,96.5500030517578,72,1187.820439453124,0.20658190188273914,TAKE_PROFIT,0.6600991934980754,20.0
ALGYO,2023-07-18 13:30:00+00:00,2023-07-21 07:30:00+00:00,16.56999969482422,16.75,298,33.781371124267025,0.006827642715409821,TIME_EXIT,0.5872577921577369,23.0
AKBNK,2023-07-18 13:30:00+00:00,2023-07-21 07:30:00+00:00,23.899999618530277,24.280000686645508,194,55.026367095946625,0.01184413900367033,TIME_EXIT,0.5729851542587285,23.0
ASELS,2023-07-18 14:30:00+00:00,2023-07-21 12:30:00+00:00,34.875,35.5,129,62.4682499999999,0.01385758948053711,TIME_EXIT,0.5181599258967536,-8.0
SMRTG,2023-07-18 13:30:00+00:00,2023-07-24 06:30:00+00:00,49.97474670410156,64.1919174194336,123,1720.6269986114503,0.27935940603431225,TAKE_PROFIT,0.6795179402422722,139.0
OTKAR,2023-07-19 06:30:00+00:00,2023-07-25 06:30:00+00:00,271.20001220703125,274.29998779296875,17,34.15258496093793,0.00739294087161655,TIME_EXIT,0.46578508420074943,37.0
AGESA,2023-07-21 07:30:00+00:00,2023-07-25 06:30:00+00:00,42.29999923706055,42.08000183105469,117,-45.48461675262479,-0.00917213835104906,SIGNAL,0.6321705226365968,50.0
KONYA,2023-07-21 06:30:00+00:00,2023-07-25 09:30:00+00:00,4012.10009765625,3918.0,1,-109.96029785156225,-0.02735246218887493,TIME_EXIT,0.5017678655069708,19.0
DOAS,2023-07-21 07:30:00+00:00,2023-07-25 10:30:00+00:00,239.5,236.1000061035156,21,-91.375072082521,-0.018131561131146792,TIME_EXIT,0.6343213614092222,-88.0
MPARK,2023-07-19 06:30:00+00:00,2023-07-25 14:30:00+00:00,89.25,90.9000015258789,47,60.615971572875424,0.01442159404247121,TIME_EXIT,0.41595015268801233,44.0
