time,portfolio_value,cash,positions
2024-09-17 04:00:00+00:00,177091.64252507387,91095.66238057314,10
2024-09-20 08:00:00+00:00,177904.18874586857,91515.47838057314,10
2024-09-25 12:00:00+00:00,174547.16027719487,92743.33124906529,10
2024-10-01 04:00:00+00:00,172367.28508747468,92563.57923496615,10
2024-10-04 08:00:00+00:00,165663.57999236864,93411.09525592608,10
2024-10-09 12:00:00+00:00,167012.891145853,93218.02696051974,10
2024-10-15 04:00:00+00:00,163322.6592696609,91091.70006594081,10
2024-10-18 08:00:00+00:00,165850.85651194377,94052.32761275096,10
2024-10-23 12:00:00+00:00,163407.63981254766,89221.13809545705,10
2024-10-30 08:00:00+00:00,165331.462465805,87987.0494656982,10
2024-11-04 12:00:00+00:00,163438.00557356735,94141.70477705856,9
2024-11-08 04:00:00+00:00,165557.49763449095,86088.33786257169,10
2024-11-13 08:00:00+00:00,165058.11782721232,84829.01800802897,10
2024-11-18 12:00:00+00:00,166675.16276454352,83781.94721173667,10
2024-11-22 04:00:00+00:00,167723.3154747219,84296.87917968941,10
2024-11-27 08:00:00+00:00,167311.8537766647,83731.44260856627,10
2024-12-02 12:00:00+00:00,169920.88583606336,85453.83360856627,10
2024-12-06 04:00:00+00:00,171752.60538654804,87614.565717988,10
2024-12-11 08:00:00+00:00,171598.14126850796,89643.0615823431,10
2024-12-16 12:00:00+00:00,171426.73948754024,89054.399966609,10
2024-12-20 04:00:00+00:00,168757.58694486902,87795.84737282085,10
2024-12-25 08:00:00+00:00,169106.47468980312,85923.82506497859,10
2024-12-30 12:00:00+00:00,169429.6052473402,85923.82506497859,10
2025-01-06 04:00:00+00:00,169388.50235954951,87114.66227690411,10
2025-01-09 08:00:00+00:00,169104.14589287472,88274.83666350078,10
2025-01-14 12:00:00+00:00,169731.0413875194,87769.68144317581,10
2025-01-20 04:00:00+00:00,172325.79062155297,90544.41040090132,10
2025-01-23 08:00:00+00:00,172832.17264016723,92812.34219010925,10
2025-01-28 12:00:00+00:00,172486.28765289497,93395.71700851631,10
2025-02-03 04:00:00+00:00,170100.23794878868,89836.26793469336,10
2025-02-06 08:00:00+00:00,168724.4160533324,89006.60596994309,10
2025-02-11 12:00:00+00:00,167954.2070628939,90762.6864997683,10
2025-02-17 04:00:00+00:00,167096.70559986978,88058.935722436,10
2025-02-20 08:00:00+00:00,167055.93788943393,87146.26817450624,10
2025-02-25 12:00:00+00:00,163847.36827449565,86731.01781420475,10
2025-03-03 04:00:00+00:00,165998.9262907005,86215.61580962902,10
2025-03-06 08:00:00+00:00,166775.01313503034,86688.66813380962,10
2025-03-11 12:00:00+00:00,169698.8876110225,89851.02230750612,10
2025-03-17 04:00:00+00:00,172850.75622045092,89851.02230750612,10
2025-03-20 08:00:00+00:00,167642.13133578832,84533.59178119237,10
2025-03-25 12:00:00+00:00,165532.41280217032,87468.79297013144,10
2025-04-02 04:00:00+00:00,168375.08909342627,88745.6385609899,10
2025-04-07 08:00:00+00:00,165176.64989400154,89883.40013051279,10
2025-04-10 12:00:00+00:00,166722.77776040323,91126.74862326868,10
2025-04-16 04:00:00+00:00,166493.7255454727,90856.26549536665,10
2025-04-21 08:00:00+00:00,166574.0498948837,88874.15933187255,10
2025-04-25 12:00:00+00:00,167055.5137301527,87433.74315701352,10
