date,value,cash,positions,returns
2025-03-06 00:00:00+00:00,100616.0295611764,60007.526055469614,5,0.018645345885965003
2025-03-07 00:00:00+00:00,101233.08954688656,61881.84045764554,5,0.0061328198737455875
2025-03-10 00:00:00+00:00,100796.03841849911,61881.84045764554,5,-0.004317275412058175
2025-03-11 00:00:00+00:00,101478.20235988247,61881.84045764554,5,0.0067677654011664146
2025-03-12 00:00:00+00:00,101735.12232820905,62484.86959402478,5,0.002531774926554542
2025-03-13 00:00:00+00:00,101849.40963471234,64472.55785572827,5,0.0011233810299513536
2025-03-14 00:00:00+00:00,102064.37299046337,64610.813011978265,5,0.002110599919253442
2025-03-17 00:00:00+00:00,102228.4530189973,64610.813011978265,5,0.0016076131536051363
2025-03-18 00:00:00+00:00,102653.29285715497,65654.01703070081,5,0.00415578858538268
2025-03-19 00:00:00+00:00,100103.95709118474,62458.86963829626,5,-0.024834427566952977
2025-03-20 00:00:00+00:00,101042.68484894003,64289.15579143728,5,0.00937752897120947
2025-03-21 00:00:00+00:00,98295.24958693709,60088.59571826186,5,-0.027190837873225404
2025-03-24 00:00:00+00:00,99229.29632018296,60680.08752082077,5,0.009502460568246995
2025-03-25 00:00:00+00:00,100256.76514316002,62433.72604155938,5,0.010354490670393623
2025-03-26 00:00:00+00:00,100382.28024906365,63026.09516758171,5,0.0012519365224321621
2025-03-27 00:00:00+00:00,99975.62723224846,64611.79231136529,5,-0.004051043827717704
2025-03-28 00:00:00+00:00,100508.01157763878,64852.95608905236,5,0.00532514133823403
2025-04-02 00:00:00+00:00,99929.51029461877,63459.418775262995,5,-0.005755772837801487
2025-04-03 00:00:00+00:00,100236.52533385674,63282.543354486625,5,0.003072316058918112
2025-04-04 00:00:00+00:00,99590.78514525811,63282.543354486625,5,-0.006442164534812722
2025-04-07 00:00:00+00:00,99556.91179564112,63424.486549402405,5,-0.000340125339584163
2025-04-08 00:00:00+00:00,99968.85947574822,63375.00253929345,5,0.004137810953323884
2025-04-09 00:00:00+00:00,99531.4094654867,63583.6945473501,5,-0.004375862769222194
2025-04-10 00:00:00+00:00,99928.89001411645,63762.60620445458,5,0.003993518737093638
2025-04-11 00:00:00+00:00,99842.77856223503,63921.68774001519,5,-0.0008617272929705155
2025-04-14 00:00:00+00:00,99914.47928458612,64002.129737199946,5,0.0007181362877075603
2025-04-15 00:00:00+00:00,99546.99802502648,62899.89870175377,5,-0.003677958011600646
2025-04-16 00:00:00+00:00,98839.76880558983,62899.89870175377,5,-0.007104475609187588
2025-04-17 00:00:00+00:00,98848.24858578698,62899.89870175377,5,8.579320145751801e-05
2025-04-18 00:00:00+00:00,98453.80926999108,62899.89870175377,5,-0.0039903520946410476
2025-04-21 00:00:00+00:00,98303.24777993218,62899.89870175377,5,-0.0015292601797256555
2025-04-22 00:00:00+00:00,98410.86214052788,63301.11168943993,5,0.0010947182623775031
2025-04-24 00:00:00+00:00,99496.39214042109,63596.24218943994,5,0.011030591301426584
2025-04-25 00:00:00+00:00,99128.5284293844,62811.10833489434,5,-0.0036972567861306427
2025-04-28 00:00:00+00:00,99012.52066542068,61484.41084314743,5,-0.0011702762645806608
2025-04-29 00:00:00+00:00,98767.72115858475,61741.48084314743,5,-0.002472409602247705
2025-04-30 00:00:00+00:00,98410.88101538102,61741.48084314743,5,-0.0036129227142011056
2025-05-02 00:00:00+00:00,98500.27874389282,62766.41830649963,5,0.0009084130493439702
2025-05-05 00:00:00+00:00,98749.66548691955,62363.82505761352,5,0.002531837942054471
2025-05-06 00:00:00+00:00,98589.13508568969,62363.82505761352,5,-0.0016256298230308275
2025-05-07 00:00:00+00:00,97832.57989197936,61974.869868099355,5,-0.007673819159208173
2025-05-08 00:00:00+00:00,98238.57408139053,62109.82438942733,5,0.00414988738781541
2025-05-09 00:00:00+00:00,98885.4046932489,60637.45453894439,5,0.006584283392819579
2025-05-12 00:00:00+00:00,100023.09054317107,59811.15052547088,5,0.011505093734018423
2025-05-13 00:00:00+00:00,99394.93040917031,60939.830489851156,5,-0.00628015121897918
2025-05-14 00:00:00+00:00,98957.43084595315,60939.830489851156,5,-0.004401628548016956
2025-05-15 00:00:00+00:00,98373.14413737314,61723.294489851156,5,-0.005904424797462338
2025-05-16 00:00:00+00:00,98643.08649050728,60803.68648325936,5,0.0027440655221631083
2025-05-20 00:00:00+00:00,98000.12810084359,62503.2879671766,5,-0.0065180278977338135
2025-05-21 00:00:00+00:00,97729.58065662591,62789.950204469846,5,-0.0027606845976698713
2025-05-22 00:00:00+00:00,97599.6097904226,62789.950204469846,5,-0.001329903037852631
2025-05-23 00:00:00+00:00,97192.27509780327,62874.62440677087,5,-0.004173527880839023
2025-05-26 00:00:00+00:00,97044.7945870916,62874.62440677087,5,-0.0015174097999379743
2025-05-27 00:00:00+00:00,96494.79737243097,62294.20791396539,5,-0.005667457146988353
2025-05-28 00:00:00+00:00,96398.00282153528,61477.68292006891,5,-0.0010031064216042829
2025-05-29 00:00:00+00:00,96418.28271350305,61477.68292006891,5,0.0002103766818211117
2025-05-30 00:00:00+00:00,95947.02315101068,61477.68292006891,5,-0.004887657705879955
2025-06-02 00:00:00+00:00,95812.82803775232,61266.72763587396,5,-0.0013986375903205506
2025-06-03 00:00:00+00:00,96496.2350592596,61576.135230539505,5,0.00713272988078395
2025-06-04 00:00:00+00:00,96790.19071130197,61290.24080304544,5,0.0030462914108704275
2025-06-05 00:00:00+00:00,96661.89532951181,61373.93480304544,5,-0.0013254998347180802
2025-06-10 00:00:00+00:00,97399.68487933939,61373.93480304544,5,0.0076326824268500015
2025-06-11 00:00:00+00:00,97427.25543502634,61373.93480304544,5,0.0002830661692705405
2025-06-12 00:00:00+00:00,96789.35055842416,62125.15022196786,5,-0.006547499195721396
2025-06-13 00:00:00+00:00,96444.98130035988,61793.93133831612,5,-0.0035579250824336883
2025-06-16 00:00:00+00:00,97152.34087439934,61625.0406663076,5,0.007334332637138674
2025-06-17 00:00:00+00:00,97452.58442881217,62446.874278093484,5,0.0030904407625236274
2025-06-18 00:00:00+00:00,97085.39425375572,62446.874278093484,5,-0.0037678854512543936
2025-06-19 00:00:00+00:00,96492.23234579673,62055.32228300681,5,-0.006109692529121524
2025-06-20 00:00:00+00:00,96758.3385628759,62115.96868410697,5,0.002757799364880853
2025-06-23 00:00:00+00:00,96578.07866755119,62115.96868410697,5,-0.0018629908078420243
2025-06-24 00:00:00+00:00,97690.46961864678,62303.72984775749,5,0.011518048054411478
2025-06-25 00:00:00+00:00,97536.3897026464,62303.72984775749,5,-0.0015772256659412065
2025-06-26 00:00:00+00:00,97435.11005996908,62396.12984775748,5,-0.0010383780144629373
